@lat	@lon	name	addr:city	addr:district
40.9731244	27.9491812	Özel Marmara Ereğlisi Polikliniği		
41.7186471	27.2147763	Derman Diyaliz Merkezi		
41.4036983	27.3551443	Özel Derman Hastanesi	Lüleburgaz	Lüleburgaz
40.8510188	26.6481435	Keşan Devlet Hastanesi Baştabipliği		
40.9694570	29.2577380	Saygı Hastanesi Ayak Sağlığı Birimi	İstanbul	Sultanbeyli
40.9697567	29.2581715	Saygı Hastanesi	İstanbul	Sultanbeyli
40.9685018	29.2534249	Sultanbeyli Dünyagöz Hastanesi	İstanbul	Sultanbeyli
36.8753724	31.1113393	Serik Karadayı Sağlık Ocağı	Serik	Serik
41.0704006	29.0200903	Neolife		
40.9636827	29.2657830	T.C. Sağlık Bakanlığı İstanbul Tacirler Eğitim Vakfı Sultanbeyli İlçe Devlet Hastanesi Merkez Polikliniği	İstanbul	Sultanbeyli
40.9665720	29.2694043	Ersoy Hastanesi	İstanbul	Sultanbeyli
40.9651770	29.2659788	İstanbul Tacirler Eğitim Vakfı T.E.V. Sultanbeyli İlçe Devlet Hastanesi	İstanbul	Sultanbeyli
40.9670638	29.2612337	Sultanbeyli Avrupa Göz Hastanesi	İstanbul	Sultanbeyli
40.9996039	28.9175398	balıklı rum hastanesi vakfı	İstanbul	Zeytinburnu
41.0021036	28.9152374	Yedikule Göğüş Hastalıkları Hastanesi	İstanbul	Zeytinburnu
40.9938689	28.9152516	Yedikule Surp PIRGIÇ ERMENI Hastanesi	İstanbul	Zeytinburnu
40.9956164	28.9148279	SÜLEYMANİYE KADIN DOĞUM VE ÇOCUK HASTANESİ	İstanbul	Zeytinburnu
41.0487960	28.8595084	MEDILIFE HASTANESİ	İstanbul	Bağcılar
41.0314854	28.8261810	Aksa	İstanbul	Bağcılar
41.0345832	28.8550884	Özel Hospitalist Hastanesi	İstanbul	Bağcılar
37.5724298	36.9243713	Özel Uğur Göz Hastanesi		
40.9920204	28.8813608	İstanbul Eğitim ve Araştırma Hastanesi Osmaniye Semt Poliklinği		
37.0570333	37.3771729	Tam-Med Hastanesi		
37.0601601	37.3791426	Özel Gaziantep Sevgi Hastanesi		
41.0797533	28.9066811	Gaziosmanpaşa Özel Başarı Hastanesi		
41.0633215	28.7467250	Dayıoğlu Tıp Merkezi		
41.0043457	29.0257508	Haydarpaşa Numune Eğitim ve Araştırma Hastanesi Tıbbiye Binası		
41.0732107	28.9032530			
37.0273730	35.4016623	Batıkent Hastanesi		
36.6846109	28.0590069	Bozburun sağlık ocağı		
41.1524163	27.7982085	Askent Aile Sağlığı Merkezi		
40.8551418	26.6343517	Özel Derman Diyaliz Merkezi	Edirne	Keşan
40.8830200	29.2361908	Özel Pendik Şifa Hastanesi	İstanbul	Pendik
36.9182170	30.6934529	Dünya Göz		
41.0824606	29.0370934	Dűnyagöz		
40.8788795	29.2362412	Dünya Göz Hastanesi	İstanbul	Pendik
41.0044482	29.0227593	Haydarpaşa Numune Hastanesi		
41.0800511	28.8059014	İstanbullu OSGB		
41.2924008	27.9069666	Yanıkağıl Aile Sağlığı Merkezi		Kapaklı
39.6321871	29.3976820	Halk Hastanesi		
38.4774606	27.0968638	Özel Metropol Şemikler Tıp Merkezi		
37.1731904	33.2226255	Özel Selçuklu Hastanesi		
41.0028566	39.7042028	Kuzey Göz Hastalıkları Merkezi		
41.0214296	29.0158947	Özel Üsküdar Anadolu Hastanesi		
41.0624452	28.9864126	Doktor Levent Polikliniği	İstanbul	Şişli
39.9537617	32.6281702	A LIFE HOSPİTAL		
41.4765348	27.8705257	Edirköy Köy Sağlık Evi		
41.3492665	27.8841409	Bahçeağıl Köy Sağlık Evi		
41.4077734	27.9706190	Küçükyoncalı Köyü Aile Sağlığı Merkezi		
41.0205828	28.5809717	Özel 2000 Tıp Merkezi		
41.0603661	28.6760478	Özel Elitium	İstanbul	Esenyurt
40.2568622	28.9532245	Ceylan International Hospital		
41.0600854	28.7739432	İstanbul Tema Hastanesi		
41.6371858	32.3312007	Yaşam Tıp Merkezi		
37.5938896	36.9226498	Yörük Selim Ek Hizmet Binası		
41.0303249	28.9070788	Bayrampaşa 1 Nolu Yabancı Uyruklular Polikliniği	İstanbul	Bayrampaşa
41.0431277	28.8201612	Bağcılar 28 Nolu Aile Sağlığı Merkezi	İstanbul	Bağcılar
41.0028506	28.9370757	Acil Tıp Kliniği		
41.0613263	28.9920220	Alpha Hair Central	İstanbul	Şişli
